log_id,generated_regex
1,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?<hostname>\S+)\s+(?<procid>\S+)\s+\[(?<severity_name>[^\]]+)\]\:\s+(?<message>.*)
2,"(\d{2}\s+\d{2}\s+\d{4}\s+\d{2}:\d{2}:\d{2})\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<([A-Z]+[0-9]+:[A-Z]+)>\s+(\d)\s+\s*\s*(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{6}[\+\-]\d{2}:\d{2})\s+(?<host>[^\s]+)\s+(?<source_host>[^\s]+)\s+-\s+-\s+-\s+LEEF\s*:\d+\.\d\|(?<sensor>[^|]+)\|(?<sensor_id>[^|]+)\|(?<src_ip>\d+\.\d+\.\d+\.\d+)\|(?<dst_port>\d+)\|(?<description>.*?)(?:\|High)?(?:\scat=\'(?<category>[^\']+)\' id=(?<alert_id>\d+) src=(?<source_ip>\d+\.\d+\.\d+\.\d+) dst=(?<destination_ip>\d+\.\d+\.\d+\.\d+) pt=(?<port>\d+) PtName=(?<protocol>[^ ]+) SrcName=(?<source_name>[^ ]+) DstName=(?<destination_name>[^ ]+) SrcMac=(?<source_mac>[^ ]+) DstMac=(?<destination_mac>[^ ]+) SrcVendor=(?<source_vendor>[^ ]+(?:,\s[^ ]+)?) DstVendor=(?<destination_vendor>[^ ]+(?:,\s[^ ]+)?) SrcType=(?<source_type>[^ ]+) DstType=(?<destination_type>[^ ]+))?(.*)"
3,(\d{2}/\d{2}/\d{2})\s+(\d{2}:\d{2}:\d{2})\s+(\w+)\s+(\w+\.\w+):\s+(.*)
4,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d+)\s(?<log_level>\w+)\s\[(?<thread>.+?)\]\s(?<class>.+?):\s(?<task_id>.+?)\s(?<message>.*)"
5,\[(?<timestamp>.*?)\]\s+(?<process>.*?)\s+-\s+(?<proxy_host>.*?):(?<proxy_port>\d+)\s+(?<action>.*?)\s+through\s+proxy\s+\k<proxy_host>:\k<proxy_port>\s+(?<protocol>.*)
6,(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>[A-Z]+)\s+(?<class>[^:]+):\s+(?<message>.*$)
7,(?<process_id>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<source>[^ ]+)\s+(?<timestamp>\d{4}-\d{2}-\d{2}-\d{2}\.\d{2}\.\d{2}\.\d+)\s+(?<destination>[^ ]+)\s+(?<module>[^ ]+)\s+(?<level>[^ ]+)\s+(?<message>.*)
8,(\w+\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(\S+)\s+(\S+)\[\d+\]\:\s+pam_unix\((\S+)\)\:\s+check\s+pass\;\s+user\s+unknown.*
9,<Event\s+xmlns=\'http://schemas\.microsoft\.com/win/2004/08/events/event\'><System><Provider\s+Name=\'(?<provider_name>.*?)\'\s+Guid=\'(?<provider_guid>.*?)\'/><EventID>(?<event_id>.*?)</EventID><Version>(?<version>.*?)</Version><Level>(?<level>.*?)</Level><Task>(?<task>.*?)</Task><Opcode>(?<opcode>.*?)</Opcode><Keywords>(?<keywords>.*?)</Keywords><TimeCreated\s+SystemTime=\'(?<timestamp>.*?)\'/><EventRecordID>(?<event_record_id>.*?)</EventRecordID><Correlation\s+ActivityID=\'(?<activity_id>.*?)\'/><Execution\s+ProcessID=\'(?<process_id>.*?)\'\s+ThreadID=\'(?<thread_id>.*?)\'/><Channel>(?<channel>.*?)</Channel><Computer>(?<computer>.*?)</Computer><Security\s+UserID=\'(?<user_id>.*?)\'/></System><EventData><Data\s+Name=\'LogString\'>(?<log_string>.*?)</Data></EventData></Event>
10,"<(\d+)>\s+\s+(\d+)\s*:46:34\s+(?<hostname>.*?)\s+\s*(?<version>\d+),(?<timestamp>\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,SYSTEM,\s*syslog,\s*(\d+),\s*(.*?),\s*,\s*(.*?),\s*,\s*(\d+),\s*(\d+),\s*(.*?),\s*(.*?),\s*\""(.*)\"",\s*(\d+),\s*0x[0-9A-Fa-f]+,\s*(\d+),\s*(\d+),\s*(\d+),\s*(\d+),\s*,\s*(PA\-VM)\s*,\s*(\d+)\s*,\s*(\d+)\s*,\s*(\d{4}\-\d{2}\-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+\-]\d{2}:\d{2})\s*.*"
11,(?<month>\w+)\s+(?<day>\d+)\s+(?<time>\d+:\d+:\d+)\s+(?<hostname>\S+)\s+(?<procid>\S+)\[\d+\]\:\s+(?<message>.*)
12,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+\+\d\s*(?<timestamp2>\d{1,2}:\d{2})\s+\s*\s*Citect\s+\(32\s*\(\w+\[\s*(.*?)\s*\]\s*\s*\s+\(\s*PID\s+(\d+)\s*\)\s+Startup\s+(.*?)\s*$"
13,"(?<client_ip>\d+\.\d+\.\d+\.\d+)\s+-\s+-\s+\[(?<timestamp>[^\]]+)\]\s+\""(?<method>[^\""]+)\s+(?<url>[^\""]+)\s+(?<http_version>[^\""]+)\""\s+(?<status_code>\d+)\s+(?<response_size>\d+)\s+\""(?<referrer>[^\""]+)\""\s+\""(?<user_agent>.*)\""\s*"
14,"(?P<ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) - - \[(?P<timestamp>[A-Za-z]{3} \d{2} \d{4}, \d{2}:\d{2}:\d{2})\] ""(?P<method>\w+) (?P<path>[^""]+) (?P<protocol>[^""]+)"" (?P<status>\d{3}) (?P<size>\d+) ""(?P<referrer>[^""]*)"" ""(?P<user_agent>[^""]*)"""
15,"(?P<timestamp>\w{3}\s+\d{1,2}\s+\d{2}:\d{2}:\d{2})\s+(?P<hostname>[\w\-]+)\s+sshd\[(?P<pid>\d+)\]:\s+(?P<message>.*)"
16,(\w+\s+\d+\s+\d{2}:\d{2}:\d{2})\s+(\S+)\s+(\S+)\((\S+)\)\[(\d+)\]\:\s+authentication\s+failure\;\s+logname=(.*?)\s+uid=(\d+)\s+euid=(\d+)\s+tty=(.*?)\s+ruser=(.*?)\s+rhost=(.*?)\s+user=(.*)
17,(?<timestamp>\d{8}-\d{2}:\d{2}:\d{2}:\d{3})\s*\|\s*(?<label>.*?)\s*\|\s*(?<id>\d+)\s*\|\s*(?<message>.*)
18,(?<timestamp>\S+\s+\d+\s+\d+:\d+:\d+)\s+(?<hostname>\S+)\s+(?<procid>\S+)\[(?<pid>\d+)\]\:\s+(?<message>.*)
